データを詳しく調べる前に、テストセットを作って封印しなければならない......。	You should always create a test set and set it aside before inspecting the data closely.
F値は適合率と再現率の調和平均である。	The F_1 score is the harmonic mean of precision and recall
2項分類器は2つのクラスの間の区別をするだけだったが多クラス分類器は2つ以上のクラスを見分けることをできる	Whereas binary classifiers distinguish between two classes, multiclass classifiers can distinguish between more than two classes.
適合率と再現率はトレードオフの関係にある。	This is called the precision/recall trade-off.
分類器は、学習時にclasses_属性に値の順序でターゲットクラスのリストを格納する。	When a classifier is trained, it stores the list of target classes in its classes_ attribute, ordered by value.
一部の学習アルゴリズムは学習インスタンスの順序の影響を受け、同じようなインスタンスが立て続けに登場すると性能が劣化する。	Some learning algorithms are sensitive to the order of the training instances, and they perform poorly if they get many similar instances in a row.
多クラスデータセットに対してSDGClassifireを学習し、予測をするのも同じくらいに簡単だ	Training an SDGClassifire on a multiclass dataset and using it to make prediction is just as easy
カラーコーディングした混同行列を使えば、分析が大幅に楽になる。	A colored diagram of the confusion matrix is much easier to analyze.
この章では、MNISTデータセットを使う。MNISTは、高校生や米国国勢調査局の職員が手書きした70,000個の数字画像のデータセットである。	In this chapter we will be using the MNIST dataset, which is a set of 70,000 small images of digits handwritten by high school students and employees of the US Census Bureau.
例えば、閉じた輪の数を数えるアルゴリズムを書くのである	For example, writing an algorithm to count the number of closed loops.
70,000個の画像があり、個々の画像には784個の特徴量がある。	There are 70,000 images, and each image has 784 features.
元の学習データを少し並行移動したり、回転したりした画像を作って学習セットを補う方がはるかに簡単だ。	A much simpler approach consists of augmenting the training set with slightly shifted and rotated variants of the training images. 
このように複数の2値タグを出力する分類システムを多ラベル分類システムと呼ぶ。	Such a classification system that output multiple binary tags is called multilabel classification system
SGDClsassfierは、個々のインスタンスに対して、決定関数に基づいてスコアを計算し、そのスコアがしきい値より高ければインスタンスは陽性のクラスに、そうでなければ陰性のクラスに分類される。	For each instance, it computes a score based on a decision function. If, that score is greater than a threshold, it a ssigns the instance to the positive class; otherwise it assigns it to the negative class
単純に個々のラベルが多クラスでも良い（複数の値を持って良い）という形に多ラベル分類を一般化したものだ。	It is a generalization of multilabel classification where each label can be multiclass(i.e., it can have more than two possible values)
しきい値を上げると再現率が下がることが確認できる。	This confirms that raising the threshold decreases recall.
分類と回帰の境界が曖昧になる場合がある．	The line between classification and regression is sometimes blurry.
混同行列の基本的な考え方は、すべてのA/Bの組み合わせについて、クラスAのインスタンスがクラスBに分類された回数を数えるというものである。	The general idea of a confusion matrix is to count the number of times instances of class A are classified as class B, for all A/B pairs.
実は、適合率はしきい値を上げたときに下がることがときどきあるのだ。	The reason is that precision may sometimes go down when you raise the threshold.
再現率が80%を超えたあたりから適合率が急速に落ちていくことがわかる。	You can see that precision really starts to fall sharply at around 80% recall.
混合行列を分析すると、分類器の改善方法のアイデアが生まれることも多い．	Analyzing the confusion matrix often gives you insights into ways to improve your classifier
混同行列の各行は実際のクラス、各列は予想したクラスを表す。	Each row in a confusion matrix represents an actual class, while each column represents a predicted class. 
再現率が上がれば上がるほど、偽陽性を上がるのである。	Once again there is a trade-off: the higher the recall, the more false positives the classifier produces.
これでMatplotlibを使えば、FPRに対するTPRをプロットできる。	Then you can plot the FPR against the TPR using Matplotlib.
precision_recall_curve()関数は引数として個々のインスタンスのラベルとスコアを取るので、ランダムフォレスト分類器を学習し、それを使って各インスタンスにスコアを与えなければならない。	the precision_recall_curve() function expects labels and scores for each instance, so we need to train the random forest classifier and make it assign a score to ecch instance.
ランダムフォレストはF値やROCAUCスコアでも大幅に優れている。	It's F score and ROCAUC score are also significantly better.
